source,target,type,stage,weight
PROC_298,수능,REQUIRES,1,100.0
PROC_299,수능,REQUIRES,1,100.0
PROC_300,수능,REQUIRES,1,100.0
PROC_301,수능,REQUIRES,1,100.0
PROC_302,수능,REQUIRES,1,100.0
PROC_303,수능,REQUIRES,1,100.0
PROC_304,수능,REQUIRES,1,100.0
PROC_305,수능,REQUIRES,1,100.0
PROC_306,수능,REQUIRES,1,100.0
PROC_307,수능,REQUIRES,1,100.0
PROC_308,수능,REQUIRES,1,100.0
PROC_309,수능,REQUIRES,1,100.0
PROC_310,수능,REQUIRES,1,100.0
PROC_311,수능,REQUIRES,1,30.0
PROC_311,실기,REQUIRES,1,70.0
PROC_312,수능,REQUIRES,1,60.0
PROC_312,실기,REQUIRES,1,40.0
PROC_313,수능,REQUIRES,1,60.0
PROC_313,실기,REQUIRES,1,40.0
PROC_314,수능,REQUIRES,1,30.0
PROC_314,실기,REQUIRES,1,70.0
PROC_315,수능,REQUIRES,1,100.0
PROC_316,수능,REQUIRES,1,30.0
PROC_316,실기,REQUIRES,1,70.0
PROC_317,수능,REQUIRES,1,30.0
PROC_317,실기,REQUIRES,1,70.0
PROC_318,수능,REQUIRES,1,100.0
PROC_319,수능,REQUIRES,1,100.0
PROC_319,수능,REQUIRES,2,70.0
PROC_319,면접,REQUIRES,2,20.0
PROC_319,실기,REQUIRES,2,10.0
PROC_320,수능,REQUIRES,1,100.0
PROC_320,수능,REQUIRES,2,70.0
PROC_320,면접,REQUIRES,2,20.0
PROC_320,실기,REQUIRES,2,10.0
PROC_321,수능,REQUIRES,1,100.0
PROC_322,수능,REQUIRES,1,100.0
PROC_323,수능,REQUIRES,1,100.0
PROC_324,수능,REQUIRES,1,100.0
PROC_325,수능,REQUIRES,1,100.0
PROC_326,수능,REQUIRES,1,100.0
PROC_327,수능,REQUIRES,1,100.0
PROC_328,수능,REQUIRES,1,100.0
PROC_329,수능,REQUIRES,1,100.0
PROC_330,수능,REQUIRES,1,100.0
PROC_331,수능,REQUIRES,1,100.0
PROC_332,수능,REQUIRES,1,100.0
PROC_333,수능,REQUIRES,1,100.0
PROC_334,수능,REQUIRES,1,100.0
PROC_335,수능,REQUIRES,1,100.0
PROC_336,수능,REQUIRES,1,100.0
PROC_337,수능,REQUIRES,1,100.0
PROC_338,수능,REQUIRES,1,100.0
PROC_339,수능,REQUIRES,1,100.0
PROC_340,수능,REQUIRES,1,100.0
PROC_341,수능,REQUIRES,1,100.0
PROC_342,수능,REQUIRES,1,100.0
PROC_343,수능,REQUIRES,1,100.0
PROC_344,수능,REQUIRES,1,100.0
PROC_345,수능,REQUIRES,1,100.0
PROC_346,수능,REQUIRES,1,100.0
PROC_347,수능,REQUIRES,1,100.0
PROC_348,수능,REQUIRES,1,100.0
PROC_349,수능,REQUIRES,1,100.0
PROC_350,수능,REQUIRES,1,100.0
PROC_351,수능,REQUIRES,1,100.0
PROC_352,수능,REQUIRES,1,40.0
PROC_352,실기,REQUIRES,1,60.0
PROC_353,수능,REQUIRES,1,20.0
PROC_353,실기,REQUIRES,1,80.0
PROC_354,수능,REQUIRES,1,40.0
PROC_354,실기,REQUIRES,1,60.0
PROC_355,수능,REQUIRES,1,60.0
PROC_355,실기,REQUIRES,1,40.0
PROC_356,학생부교과,REQUIRES,1,25.0
PROC_356,학생부비교과,REQUIRES,1,5.0
PROC_356,수능,REQUIRES,1,70.0
PROC_357,학생부교과,REQUIRES,1,25.0
PROC_357,학생부비교과,REQUIRES,1,5.0
PROC_357,수능,REQUIRES,1,70.0
PROC_358,학생부교과,REQUIRES,1,25.0
PROC_358,학생부비교과,REQUIRES,1,5.0
PROC_358,수능,REQUIRES,1,70.0
PROC_359,학생부교과,REQUIRES,1,25.0
PROC_359,학생부비교과,REQUIRES,1,5.0
PROC_359,수능,REQUIRES,1,70.0
PROC_360,학생부교과,REQUIRES,1,25.0
PROC_360,학생부비교과,REQUIRES,1,5.0
PROC_360,수능,REQUIRES,1,70.0
PROC_361,학생부교과,REQUIRES,1,25.0
PROC_361,학생부비교과,REQUIRES,1,5.0
PROC_361,수능,REQUIRES,1,70.0
PROC_362,학생부교과,REQUIRES,1,25.0
PROC_362,학생부비교과,REQUIRES,1,5.0
PROC_362,수능,REQUIRES,1,70.0
PROC_363,학생부교과,REQUIRES,1,25.0
PROC_363,학생부비교과,REQUIRES,1,5.0
PROC_363,수능,REQUIRES,1,70.0
