source,target,type
D101,PROC_112,OFFERS
PROC_112,D101_식품영양학과,FOR_MAJOR
PROC_112,다군,IN_PERIOD
D101,PROC_113,OFFERS
PROC_113,D101_전자반도체공학부,FOR_MAJOR
PROC_113,다군,IN_PERIOD
D101,PROC_114,OFFERS
PROC_114,D101_데이터사이언스학과,FOR_MAJOR
PROC_114,다군,IN_PERIOD
D101,PROC_115,OFFERS
PROC_115,D101_치위생학과,FOR_MAJOR
PROC_115,다군,IN_PERIOD
D101,PROC_116,OFFERS
PROC_116,D101_치의예과,FOR_MAJOR
PROC_116,다군,IN_PERIOD
D101,PROC_117,OFFERS
PROC_117,D101_건설환경공학부,FOR_MAJOR
PROC_117,다군,IN_PERIOD
D101,PROC_118,OFFERS
PROC_118,D101_수산생명의학과,FOR_MAJOR
PROC_118,다군,IN_PERIOD
D101,PROC_119,OFFERS
PROC_119,D101_화학신소재학과,FOR_MAJOR
PROC_119,다군,IN_PERIOD
D101,PROC_120,OFFERS
PROC_120,D101_환경조경학과,FOR_MAJOR
PROC_120,다군,IN_PERIOD
D101,PROC_121,OFFERS
PROC_121,D101_음악학과(관현악),FOR_MAJOR
PROC_121,다군,IN_PERIOD
D101,PROC_122,OFFERS
PROC_122,D101_음악학과(피아노),FOR_MAJOR
PROC_122,다군,IN_PERIOD
D112,강원,LOCATED_IN
D112,PROC_123,OFFERS
PROC_123,D112_다문화학과,FOR_MAJOR
PROC_123,다군,IN_PERIOD
D112,PROC_124,OFFERS
PROC_124,D112_사회복지학과,FOR_MAJOR
PROC_124,다군,IN_PERIOD
D112,PROC_125,OFFERS
PROC_125,D112_유아교육과,FOR_MAJOR
PROC_125,다군,IN_PERIOD
D112,PROC_126,OFFERS
PROC_126,D112_간호학과,FOR_MAJOR
PROC_126,다군,IN_PERIOD
D112,PROC_127,OFFERS
PROC_127,D112_AI콘텐츠공학과,FOR_MAJOR
PROC_127,다군,IN_PERIOD
D112,PROC_128,OFFERS
PROC_128,D112_산업경영공학과,FOR_MAJOR
PROC_128,다군,IN_PERIOD
D112,PROC_129,OFFERS
PROC_129,D112_전기공학과,FOR_MAJOR
PROC_129,다군,IN_PERIOD
D112,PROC_130,OFFERS
PROC_130,D112_정보통신공학과,FOR_MAJOR
PROC_130,다군,IN_PERIOD
D112,PROC_131,OFFERS
PROC_131,D112_컴퓨터공학과,FOR_MAJOR
PROC_131,다군,IN_PERIOD
D102,강원,LOCATED_IN
D102,PROC_132,OFFERS
PROC_132,D102_경영회계학부,FOR_MAJOR
PROC_132,가군,IN_PERIOD
D102,PROC_133,OFFERS
PROC_133,D102_경제정보통계학부,FOR_MAJOR
PROC_133,가군,IN_PERIOD
D102,PROC_134,OFFERS
PROC_134,D102_관광경영학과,FOR_MAJOR
PROC_134,가군,IN_PERIOD
D102,PROC_135,OFFERS
PROC_135,D102_국제무역학과,FOR_MAJOR
PROC_135,가군,IN_PERIOD
D102,PROC_136,OFFERS
PROC_136,D102_문화인류학과,FOR_MAJOR
PROC_136,가군,IN_PERIOD
